"_id",associates,skill
5ad28e586df2282346f90609,"{agile=0.7172413793103448, html=0.3724137931034483, javascript=0.22758620689655173, css=0.20689655172413793, sql=0.2, java=0.1793103448275862, jira=0.1793103448275862, excel=0.15172413793103448, go=0.13793103448275862, c#=0.12413793103448276}",kanban
5ad28e8c6df2282346f9060a,"{sql=1.0, excel=0.42857142857142855, sql server=0.2857142857142857, xml=0.14285714285714285, javascript=0.14285714285714285, agile=0.14285714285714285, confluence=0.14285714285714285, go=0.14285714285714285, vpn=0.14285714285714285, html=0.14285714285714285}",foxpro
5ad290226df240aed98e5eb3,"{java=0.8120805369127517, html=0.6040268456375839, linux=0.5234899328859061, sql=0.4966442953020134, javascript=0.4228187919463087, agile=0.3959731543624161, css=0.3422818791946309, spring=0.3422818791946309, windows=0.30201342281879195, oracle=0.28859060402684567}",tomcat
5ad290a66df240aed98e5eb4,"{javascript=0.7058823529411765, css=0.5686274509803921, html=0.5098039215686274, angular=0.49019607843137253, java=0.43137254901960786, agile=0.4117647058823529, sql=0.29411764705882354, php=0.21568627450980393, git=0.21568627450980393, python=0.17647058823529413}",react
5ad291206df240aed98e5eb5,"{css=0.0, stata=0.0, jackrabbit=0.0, theano=0.0, ios=0.0, ajax=0.0, java=0.0, ibm mq=0.0, travis ci=0.0, xml=0.0, XCTest=0.0}",ip security
5ad2919a6df240aed98e5eb6,"{css=1.0588235294117647, html=1.0588235294117647, javascript=0.7058823529411765, agile=0.35294117647058826, php=0.35294117647058826, react=0.3235294117647059, bootstrap=0.3235294117647059, sql=0.3235294117647059, git=0.3235294117647059, rest=0.3235294117647059}",sass
5ad2921e6df240aed98e5eb7,"{c#=0.6923076923076923, sql=0.6923076923076923, sql server=0.4423076923076923, javascript=0.36538461538461536, html=0.34615384615384615, windows=0.3269230769230769, css=0.2692307692307692, xml=0.2692307692307692, agile=0.2692307692307692, rest=0.25}",wcf
5ad2a6d86df21089572c28b9,"{linux=6.0, qt=5.0, agile=5.0, c++=5.0, unix=5.0, qnx=5.0, qml=4.0, git=2.0, windows=1.0, html=1.0}",gtk
5ad2a7856df21089572c28ba,"{sql=0.4594594594594595, agile=0.42342342342342343, aws=0.38738738738738737, java=0.3063063063063063, javascript=0.3063063063063063, windows=0.27927927927927926, sql server=0.26126126126126126, html=0.24324324324324326, c#=0.2072072072072072, css=0.16216216216216217}",azure
5ad2a8276df21089572c28bb,"{javascript=0.32, linux=0.31, sql=0.31, java=0.27, agile=0.27, html=0.2, git=0.18, windows=0.16, chef=0.16, css=0.14}",python
5ad2a8f46df21089572c28bd,"{tcp/ip=0.35714285714285715, linux=0.3333333333333333, windows=0.2857142857142857, html=0.23809523809523808, python=0.19047619047619047, dns=0.19047619047619047, java=0.16666666666666666, perl=0.14285714285714285, vpn=0.14285714285714285, unix=0.14285714285714285}",ip
5ad2a95a6df21089572c28be,"{tensorflow=0.7083333333333334, python=0.4583333333333333, big data=0.2916666666666667, opencv=0.2916666666666667, java=0.25, mxnet=0.25, theano=0.20833333333333334, go=0.16666666666666666, html=0.16666666666666666, spark=0.125}",caffe
5ad2b8d96df2ee82e429291f,"{windows=0.7528735632183908, dhcp=0.5229885057471264, linux=0.40229885057471265, tcp/ip=0.3045977011494253, sql=0.25862068965517243, ip=0.2413793103448276, html=0.2413793103448276, vpn=0.19540229885057472, python=0.16091954022988506, unix=0.14367816091954022}",dns
5ad2b9b96df2ee82e4292921,"{java=0.6785714285714286, agile=0.5357142857142857, scala=0.42857142857142855, aws=0.32142857142857145, spark=0.25, linux=0.25, html=0.25, big data=0.21428571428571427, azure=0.21428571428571427, jquery=0.21428571428571427}",akka
5ad2bac16df2ee82e4292923,"{sql=0.5666666666666667, excel=0.5333333333333333, tableau=0.4, etl=0.26666666666666666, teradata=0.23333333333333334, big data=0.2, sql server=0.2, html=0.2, css=0.16666666666666666, java=0.16666666666666666}",microstrategy
5ad2bb3c6df2ee82e4292924,"{javascript=0.72, html=0.7, css=0.62, agile=0.5, java=0.4, react=0.34, jquery=0.32, sql=0.32, c#=0.22, restful=0.2}",angular
5ad2dd5a6df2db045170f1f3,"{java=0.9533333333333334, spring=0.7466666666666667, html=0.7266666666666667, javascript=0.5733333333333334, hibernate=0.52, j2ee=0.44, agile=0.38666666666666666, jsp=0.38666666666666666, css=0.38, oracle=0.36666666666666664}",struts
5ad2ddc16df2db045170f1f4,"{java=0.6222222222222222, spark=0.5333333333333333, big data=0.5333333333333333, python=0.4444444444444444, sql=0.4, agile=0.3333333333333333, hive=0.3111111111111111, spring=0.26666666666666666, scala=0.24444444444444444, linux=0.2222222222222222}",kafka
5ad2de656df2db045170f1f6,"{big data=1.0, spark=0.7222222222222222, pig=0.5, sql=0.3888888888888889, java=0.3333333333333333, python=0.3333333333333333, kafka=0.3333333333333333, yarn=0.3333333333333333, etl=0.3333333333333333, agile=0.2222222222222222}",hive
5ad2ded56df2db045170f1f7,"{java=0.84375, agile=0.8125, jenkins=0.78125, git=0.6875, javascript=0.53125, ansible=0.5, maven=0.5, css=0.375, confluence=0.375, html=0.375}",artifactory
5ad2df326df2db045170f1f8,"{html=0.5512820512820513, javascript=0.5384615384615384, css=0.38461538461538464, java=0.28205128205128205, ajax=0.26282051282051283, sql=0.23717948717948717, agile=0.22435897435897437, jquery=0.22435897435897437, xml=0.19230769230769232, windows=0.14102564102564102}",dom
5ad2df8e6df2db045170f1f9,"{docker=0.6, agile=0.5333333333333333, javascript=0.4666666666666667, ansible=0.43333333333333335, html=0.43333333333333335, java=0.4, jenkins=0.4, linux=0.36666666666666664, aws=0.36666666666666664, git=0.36666666666666664}",openshift
5ad2e0086df2db045170f1fa,"{html=0.7238095238095238, css=0.6761904761904762, javascript=0.6238095238095238, jquery=0.44761904761904764, agile=0.3523809523809524, sql=0.2714285714285714, angular=0.23333333333333334, php=0.22380952380952382, angularjs=0.19523809523809524, c#=0.18095238095238095}",bootstrap
